"","2017","2017","2017","2016","2016","2016","2015","2015","2015","2014","2014","2014","2013","2013","2013","2012","2012","2012","2011","2011","2011","2010","2010","2010","2009","2009","2009","2008","2008","2008","2007","2007","2007","2006","2006","2006","2005","2005","2005","2004","2004","2004","2003","2003","2003","2002","2002","2002","2001","2001","2001","2000","2000","2000"
""," Population practising open defecation (%)"," Population practising open defecation (%)"," Population practising open defecation (%)"," Population practising open defecation (%)"," Population practising open defecation (%)"," Population practising open defecation (%)"," Population practising open defecation (%)"," Population practising open defecation (%)"," Population practising open defecation (%)"," Population practising open defecation (%)"," Population practising open defecation (%)"," Population practising open defecation (%)"," Population practising open defecation (%)"," Population practising open defecation (%)"," Population practising open defecation (%)"," Population practising open defecation (%)"," Population practising open defecation (%)"," Population practising open defecation (%)"," Population practising open defecation (%)"," Population practising open defecation (%)"," Population practising open defecation (%)"," Population practising open defecation (%)"," Population practising open defecation (%)"," Population practising open defecation (%)"," Population practising open defecation (%)"," Population practising open defecation (%)"," Population practising open defecation (%)"," Population practising open defecation (%)"," Population practising open defecation (%)"," Population practising open defecation (%)"," Population practising open defecation (%)"," Population practising open defecation (%)"," Population practising open defecation (%)"," Population practising open defecation (%)"," Population practising open defecation (%)"," Population practising open defecation (%)"," Population practising open defecation (%)"," Population practising open defecation (%)"," Population practising open defecation (%)"," Population practising open defecation (%)"," Population practising open defecation (%)"," Population practising open defecation (%)"," Population practising open defecation (%)"," Population practising open defecation (%)"," Population practising open defecation (%)"," Population practising open defecation (%)"," Population practising open defecation (%)"," Population practising open defecation (%)"," Population practising open defecation (%)"," Population practising open defecation (%)"," Population practising open defecation (%)"," Population practising open defecation (%)"," Population practising open defecation (%)"," Population practising open defecation (%)"
"Country"," Total"," Urban"," Rural"," Total"," Urban"," Rural"," Total"," Urban"," Rural"," Total"," Urban"," Rural"," Total"," Urban"," Rural"," Total"," Urban"," Rural"," Total"," Urban"," Rural"," Total"," Urban"," Rural"," Total"," Urban"," Rural"," Total"," Urban"," Rural"," Total"," Urban"," Rural"," Total"," Urban"," Rural"," Total"," Urban"," Rural"," Total"," Urban"," Rural"," Total"," Urban"," Rural"," Total"," Urban"," Rural"," Total"," Urban"," Rural"," Total"," Urban"," Rural"
"Afghanistan","13","0","17","13","0","18","14","0","19","15","1","20","16","1","21","17","2","22","18","2","22","18","3","23","19","3","24","20","4","25","21","4","26","22","5","27","23","5","28","23","6","29","24","6","30","25","7","30","26","7","31","26","7","31"
"Albania","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","1","0","0","1","0","0","1","1","0","1","1","0","1","1","0","1","1","0","1","1","0","1","1","0","1","1","0","1","1","0","1"
"Algeria","1","0","2","1","0","2","1","0","2","1","0","3","1","0","4","2","0","5","2","0","6","2","0","6","3","0","7","3","0","8","3","0","9","4","1","10","4","1","11","5","1","11","5","1","12","5","1","13","6","1","14","6","1","15"
"Andorra","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Angola","20","1","55","21","2","56","23","3","56","24","4","57","25","5","58","26","6","58","28","7","59","29","8","60","30","10","60","32","11","61","33","12","62","34","13","63","36","14","63","37","15","64","38","16","65","40","17","65","41","18","66","43","19","67"
"Antigua and Barbuda","0","","","0","","","0","","","0","","","0","","","0","","","0","","","1","","","1","","","1","","","1","","","1","","","1","","","1","","","1","","","1","","","1","","","1","",""
"Argentina","","2","","","2","","","2","","2","2","8","2","2","8","2","1","8","2","1","8","2","1","8","2","1","8","2","1","8","2","1","8","2","1","8","","1","","","1","","","1","","","1","","","1","","","1",""
